AU,correlation
 AU01_r,0.04751067267270887
 AU02_r,0.01654642538334164
 AU04_r,-0.14384274010422643
 AU05_r,0.010462282715578518
 AU06_r,0.09546879633842736
 AU07_r,0.11738861196494056
 AU09_r,0.04926017579541353
 AU10_r,0.05332780191820343
 AU12_r,0.055129768422712506
 AU14_r,0.02762643443231485
 AU15_r,-0.06761435957317663
 AU17_r,0.06665420602334853
 AU20_r,-0.043867810177231084
 AU23_r,-0.027984091199260683
 AU25_r,0.010603514365987018
 AU26_r,0.03196072499735445
 AU45_r,0.04796162113986643
label,1.0
