AU,correlation
 AU01_r,0.018280413641845603
 AU02_r,0.09208872488450758
 AU04_r,0.06235274416377831
 AU05_r,0.004046686616802204
 AU06_r,-0.05451701061924856
 AU07_r,-0.015333703336055543
 AU09_r,0.04197063779181661
 AU10_r,0.07618448684386588
 AU12_r,-0.12855214542473348
 AU14_r,-0.3053523638109145
 AU15_r,-0.03686026435109901
 AU17_r,-0.022158328377172857
 AU20_r,0.023267207212148307
 AU23_r,0.002172887304647962
 AU25_r,0.0033614547500328907
 AU26_r,0.013005268238378952
 AU45_r,0.07507192220842612
label,1.0
